wheel,pwm,rep,cps,is_moving
wheel,NaN,NaN,NaN,NaN
L,0,1,0,0
L,0,2,0,0
L,0,3,0,0
L,2,1,0,0
L,2,2,0,0
L,2,3,0,0
L,4,1,0,0
L,4,2,0,0
L,4,3,0,0
L,6,1,1.25,0
L,6,2,0,0
L,6,3,0,0
L,8,1,0,0
L,8,2,0,0
L,8,3,0,0
L,10,1,0,0
L,10,2,0,0
L,10,3,0,0
L,12,1,0,0
L,12,2,0,0
L,12,3,0,0
L,14,1,0,0
L,14,2,0,0
L,14,3,0,0
L,16,1,208.75,1
L,16,2,190,1
L,16,3,262.5,1
L,18,1,291.25,1
L,18,2,317.5,1
L,18,3,0,0
L,20,1,276.25,1
L,20,2,376.25,1
L,20,3,322.5,1
L,22,1,421.25,1
L,22,2,417.5,1
L,22,3,442.5,1
L,24,1,500,1
L,24,2,501.25,1
L,24,3,497.5,1
L,26,1,550,1
L,26,2,542.5,1
L,26,3,548.75,1
L,28,1,607.5,1
L,28,2,608.75,1
L,28,3,600,1
L,30,1,663.75,1
L,30,2,663.75,1
L,30,3,666.25,1
L,32,1,717.5,1
L,32,2,721.25,1
L,32,3,720,1
L,34,1,776.25,1
L,34,2,780,1
L,34,3,781.25,1
L,36,1,837.5,1
L,36,2,836.25,1
L,36,3,838.75,1
L,38,1,892.5,1
L,38,2,893.75,1
L,38,3,886.25,1
L,40,1,946.25,1
L,40,2,946.25,1
L,40,3,952.5,1
L,42,1,1003.75,1
L,42,2,991.25,1
L,42,3,995,1
L,44,1,1046.25,1
L,44,2,1048.75,1
L,44,3,1051.25,1
L,46,1,1105,1
L,46,2,1107.5,1
L,46,3,1115,1
L,48,1,1162.5,1
L,48,2,1158.75,1
L,48,3,1160,1
L,50,1,1253.75,1
L,50,2,1260,1
L,50,3,1260,1
L,52,1,1257.5,1
L,52,2,1257.5,1
L,52,3,1258.75,1
L,54,1,1258.75,1
L,54,2,1258.75,1
L,54,3,1262.5,1
L,56,1,1376.25,1
L,56,2,1370,1
L,56,3,1372.5,1
L,58,1,1267.5,1
L,58,2,1426.25,1
L,58,3,1427.5,1
L,60,1,1482.5,1
L,60,2,1487.5,1
L,60,3,1486.25,1
L,62,1,1540,1
L,62,2,1543.75,1
L,62,3,1548.75,1
L,64,1,1590,1
L,64,2,1588.75,1
L,64,3,1585,1
L,66,1,1645,1
L,66,2,1645,1
L,66,3,1645,1
L,68,1,1695,1
L,68,2,1696.25,1
L,68,3,1707.5,1
L,70,1,1747.5,1
L,70,2,1753.75,1
L,70,3,1755,1
L,72,1,1808.75,1
L,72,2,1810,1
L,72,3,1805,1
L,74,1,1871.25,1
L,74,2,1862.5,1
L,74,3,1857.5,1
L,76,1,1910,1
L,76,2,1907.5,1
L,76,3,1912.5,1
L,78,1,1965,1
L,78,2,1966.25,1
L,78,3,1971.25,1
L,80,1,2012.5,1
L,80,2,2020,1
L,80,3,2023.75,1
L,82,1,2083.75,1
L,82,2,2083.75,1
L,82,3,2083.75,1
L,84,1,2145,1
L,84,2,2150,1
L,84,3,2151.25,1
L,86,1,2197.5,1
L,86,2,2198.75,1
L,86,3,2203.75,1
L,88,1,2260,1
L,88,2,2257.5,1
L,88,3,2256.25,1
L,90,1,2308.75,1
L,90,2,2307.5,1
L,90,3,2310,1
L,92,1,2366.25,1
L,92,2,2363.75,1
L,92,3,2365,1
L,94,1,2481.25,1
L,94,2,2497.5,1
L,94,3,2478.75,1
L,96,1,2505,1
L,96,2,2503.75,1
L,96,3,2506.25,1
L,98,1,2512.5,1
L,98,2,2511.25,1
L,98,3,2507.5,1
L,100,1,2571.25,1
L,100,2,2516.25,1
L,100,3,2515,1
L,102,1,2642.5,1
L,102,2,2646.25,1
L,102,3,2648.75,1
L,104,1,2707.5,1
L,104,2,2702.5,1
L,104,3,2701.25,1
L,106,1,2766.25,1
L,106,2,2770,1
L,106,3,2773.75,1
L,108,1,2798.75,1
L,108,2,2807.5,1
L,108,3,2805,1
L,110,1,2870,1
L,110,2,2867.5,1
L,110,3,2870,1
L,112,1,2928.75,1
L,112,2,2926.25,1
L,112,3,2940,1
L,114,1,2993.75,1
L,114,2,2990,1
L,114,3,2993.75,1
L,116,1,3048.75,1
L,116,2,3042.5,1
L,116,3,3042.5,1
L,118,1,3101.25,1
L,118,2,3097.5,1
L,118,3,3108.75,1
L,120,1,3138.75,1
L,120,2,3127.5,1
L,120,3,3128.75,1
R,0,1,0,0
R,0,2,0,0
R,0,3,0,0
R,2,1,0,0
R,2,2,0,0
R,2,3,0,0
R,4,1,0,0
R,4,2,0,0
R,4,3,0,0
R,6,1,0,0
R,6,2,0,0
R,6,3,0,0
R,8,1,0,0
R,8,2,0,0
R,8,3,0,0
R,10,1,0,0
R,10,2,0,0
R,10,3,0,0
R,12,1,0,0
R,12,2,0,0
R,12,3,0,0
R,14,1,227.5,1
R,14,2,263.75,1
R,14,3,267.5,1
R,16,1,320,1
R,16,2,323.75,1
R,16,3,326.25,1
R,18,1,380,1
R,18,2,380,1
R,18,3,381.25,1
R,20,1,438.75,1
R,20,2,441.25,1
R,20,3,442.5,1
R,22,1,502.5,1
R,22,2,500,1
R,22,3,498.75,1
R,24,1,551.25,1
R,24,2,552.5,1
R,24,3,552.5,1
R,26,1,612.5,1
R,26,2,612.5,1
R,26,3,610,1
R,28,1,667.5,1
R,28,2,666.25,1
R,28,3,663.75,1
R,30,1,728.75,1
R,30,2,723.75,1
R,30,3,725,1
R,32,1,782.5,1
R,32,2,780,1
R,32,3,778.75,1
R,34,1,838.75,1
R,34,2,841.25,1
R,34,3,837.5,1
R,36,1,891.25,1
R,36,2,892.5,1
