# ACK DZ
# START Deadzone
DZ,wheel,pwm,repeat,cps,is_moving
DZ,L,0,1,0.000,0
DZ,L,0,2,0.000,0
DZ,L,0,3,0.000,0
DZ,L,2,1,0.000,0
DZ,L,2,2,0.000,0
DZ,L,2,3,0.000,0
DZ,L,4,1,0.000,0
DZ,L,4,2,0.000,0
DZ,L,4,3,0.000,0
DZ,L,6,1,1.250,0
DZ,L,6,2,0.000,0
DZ,L,6,3,0.000,0
DZ,L,8,1,0.000,0
DZ,L,8,2,0.000,0
DZ,L,8,3,0.000,0
DZ,L,10,1,0.000,0
DZ,L,10,2,0.000,0
DZ,L,10,3,0.000,0
DZ,L,12,1,0.000,0
DZ,L,12,2,0.000,0
DZ,L,12,3,0.000,0
DZ,L,14,1,0.000,0
DZ,L,14,2,0.000,0
DZ,L,14,3,0.000,0
DZ,L,16,1,208.750,1
DZ,L,16,2,190.000,1
DZ,L,16,3,262.500,1
DZ,L,18,1,291.250,1
DZ,L,18,2,317.500,1
DZ,L,18,3,0.000,0
DZ,L,20,1,276.250,1
DZ,L,20,2,376.250,1
DZ,L,20,3,322.500,1
DZ,L,22,1,421.250,1
DZ,L,22,2,417.500,1
DZ,L,22,3,442.500,1
DZ,L,24,1,500.000,1
DZ,L,24,2,501.250,1
DZ,L,24,3,497.500,1
DZ,L,26,1,550.000,1
DZ,L,26,2,542.500,1
DZ,L,26,3,548.750,1
DZ,L,28,1,607.500,1
DZ,L,28,2,608.750,1
DZ,L,28,3,600.000,1
DZ,L,30,1,663.750,1
DZ,L,30,2,663.750,1
DZ,L,30,3,666.250,1
DZ,L,32,1,717.500,1
DZ,L,32,2,721.250,1
DZ,L,32,3,720.000,1
DZ,L,34,1,776.250,1
DZ,L,34,2,780.000,1
DZ,L,34,3,781.250,1
DZ,L,36,1,837.500,1
DZ,L,36,2,836.250,1
DZ,L,36,3,838.750,1
DZ,L,38,1,892.500,1
DZ,L,38,2,893.750,1
DZ,L,38,3,886.250,1
DZ,L,40,1,946.250,1
DZ,L,40,2,946.250,1
DZ,L,40,3,952.500,1
DZ,L,42,1,1003.750,1
DZ,L,42,2,991.250,1
DZ,L,42,3,995.000,1
DZ,L,44,1,1046.250,1
DZ,L,44,2,1048.750,1
DZ,L,44,3,1051.250,1
DZ,L,46,1,1105.000,1
DZ,L,46,2,1107.500,1
DZ,L,46,3,1115.000,1
DZ,L,48,1,1162.500,1
DZ,L,48,2,1158.750,1
DZ,L,48,3,1160.000,1
DZ,L,50,1,1253.750,1
DZ,L,50,2,1260.000,1
DZ,L,50,3,1260.000,1
DZ,L,52,1,1257.500,1
DZ,L,52,2,1257.500,1
DZ,L,52,3,1258.750,1
DZ,L,54,1,1258.750,1
DZ,L,54,2,1258.750,1
DZ,L,54,3,1262.500,1
DZ,L,56,1,1376.250,1
DZ,L,56,2,1370.000,1
DZ,L,56,3,1372.500,1
DZ,L,58,1,1267.500,1
DZ,L,58,2,1426.250,1
DZ,L,58,3,1427.500,1
DZ,L,60,1,1482.500,1
DZ,L,60,2,1487.500,1
DZ,L,60,3,1486.250,1
DZ,L,62,1,1540.000,1
DZ,L,62,2,1543.750,1
DZ,L,62,3,1548.750,1
DZ,L,64,1,1590.000,1
DZ,L,64,2,1588.750,1
DZ,L,64,3,1585.000,1
DZ,L,66,1,1645.000,1
DZ,L,66,2,1645.000,1
DZ,L,66,3,1645.000,1
DZ,L,68,1,1695.000,1
DZ,L,68,2,1696.250,1
DZ,L,68,3,1707.500,1
DZ,L,70,1,1747.500,1
DZ,L,70,2,1753.750,1
DZ,L,70,3,1755.000,1
DZ,L,72,1,1808.750,1
DZ,L,72,2,1810.000,1
DZ,L,72,3,1805.000,1
DZ,L,74,1,1871.250,1
DZ,L,74,2,1862.500,1
DZ,L,74,3,1857.500,1
DZ,L,76,1,1910.000,1
DZ,L,76,2,1907.500,1
DZ,L,76,3,1912.500,1
DZ,L,78,1,1965.000,1
DZ,L,78,2,1966.250,1
DZ,L,78,3,1971.250,1
DZ,L,80,1,2012.500,1
DZ,L,80,2,2020.000,1
DZ,L,80,3,2023.750,1
DZ,L,82,1,2083.750,1
DZ,L,82,2,2083.750,1
DZ,L,82,3,2083.750,1
DZ,L,84,1,2145.000,1
DZ,L,84,2,2150.000,1
DZ,L,84,3,2151.250,1
DZ,L,86,1,2197.500,1
DZ,L,86,2,2198.750,1
DZ,L,86,3,2203.750,1
DZ,L,88,1,2260.000,1
DZ,L,88,2,2257.500,1
DZ,L,88,3,2256.250,1
DZ,L,90,1,2308.750,1
DZ,L,90,2,2307.500,1
DZ,L,90,3,2310.000,1
DZ,L,92,1,2366.250,1
DZ,L,92,2,2363.750,1
DZ,L,92,3,2365.000,1
DZ,L,94,1,2481.250,1
DZ,L,94,2,2497.500,1
DZ,L,94,3,2478.750,1
DZ,L,96,1,2505.000,1
DZ,L,96,2,2503.750,1
DZ,L,96,3,2506.250,1
DZ,L,98,1,2512.500,1
DZ,L,98,2,2511.250,1
DZ,L,98,3,2507.500,1
DZ,L,100,1,2571.250,1
DZ,L,100,2,2516.250,1
DZ,L,100,3,2515.000,1
DZ,L,102,1,2642.500,1
DZ,L,102,2,2646.250,1
DZ,L,102,3,2648.750,1
DZ,L,104,1,2707.500,1
DZ,L,104,2,2702.500,1
DZ,L,104,3,2701.250,1
DZ,L,106,1,2766.250,1
DZ,L,106,2,2770.000,1
DZ,L,106,3,2773.750,1
DZ,L,108,1,2798.750,1
DZ,L,108,2,2807.500,1
DZ,L,108,3,2805.000,1
DZ,L,110,1,2870.000,1
DZ,L,110,2,2867.500,1
DZ,L,110,3,2870.000,1
DZ,L,112,1,2928.750,1
DZ,L,112,2,2926.250,1
DZ,L,112,3,2940.000,1
DZ,L,114,1,2993.750,1
DZ,L,114,2,2990.000,1
DZ,L,114,3,2993.750,1
DZ,L,116,1,3048.750,1
DZ,L,116,2,3042.500,1
DZ,L,116,3,3042.500,1
DZ,L,118,1,3101.250,1
DZ,L,118,2,3097.500,1
DZ,L,118,3,3108.750,1
DZ,L,120,1,3138.750,1
DZ,L,120,2,3127.500,1
DZ,L,120,3,3128.750,1
DZ,R,0,1,0.000,0
DZ,R,0,2,0.000,0
DZ,R,0,3,0.000,0
DZ,R,2,1,0.000,0
DZ,R,2,2,0.000,0
DZ,R,2,3,0.000,0
DZ,R,4,1,0.000,0
DZ,R,4,2,0.000,0
DZ,R,4,3,0.000,0
DZ,R,6,1,0.000,0
DZ,R,6,2,0.000,0
DZ,R,6,3,0.000,0
DZ,R,8,1,0.000,0
DZ,R,8,2,0.000,0
DZ,R,8,3,0.000,0
DZ,R,10,1,0.000,0
DZ,R,10,2,0.000,0
DZ,R,10,3,0.000,0
DZ,R,12,1,0.000,0
DZ,R,12,2,0.000,0
DZ,R,12,3,0.000,0
DZ,R,14,1,227.500,1
DZ,R,14,2,263.750,1
DZ,R,14,3,267.500,1
DZ,R,16,1,320.000,1
DZ,R,16,2,323.750,1
DZ,R,16,3,326.250,1
DZ,R,18,1,380.000,1
DZ,R,18,2,380.000,1
DZ,R,18,3,381.250,1
DZ,R,20,1,438.750,1
DZ,R,20,2,441.250,1
DZ,R,20,3,442.500,1
DZ,R,22,1,502.500,1
DZ,R,22,2,500.000,1
DZ,R,22,3,498.750,1
DZ,R,24,1,551.250,1
DZ,R,24,2,552.500,1
DZ,R,24,3,552.500,1
DZ,R,26,1,612.500,1
DZ,R,26,2,612.500,1
DZ,R,26,3,610.000,1
DZ,R,28,1,667.500,1
DZ,R,28,2,666.250,1
DZ,R,28,3,663.750,1
DZ,R,30,1,728.750,1
DZ,R,30,2,723.750,1
DZ,R,30,3,725.000,1
DZ,R,32,1,782.500,1
DZ,R,32,2,780.000,1
DZ,R,32,3,778.750,1
DZ,R,34,1,838.750,1
DZ,R,34,2,841.250,1
DZ,R,34,3,837.500,1
DZ,R,36,1,891.250,1
DZ,R,36,2,892.500,1
DZ,R,36,3,891.250,1
DZ,R,38,1,946.250,1
DZ,R,38,2,947.500,1
DZ,R,38,3,953.750,1
DZ,R,40,1,1006.250,1
DZ,R,40,2,1005.000,1
DZ,R,40,3,1005.000,1
DZ,R,42,1,1062.500,1
DZ,R,42,2,1063.750,1
DZ,R,42,3,1066.250,1
DZ,R,44,1,1117.500,1
DZ,R,44,2,1116.250,1
DZ,R,44,3,1120.000,1
DZ,R,46,1,1182.500,1
DZ,R,46,2,1178.750,1
DZ,R,46,3,1176.250,1
DZ,R,48,1,1258.750,1
DZ,R,48,2,1261.250,1
DZ,R,48,3,1256.250,1
DZ,R,50,1,1260.000,1
DZ,R,50,2,1260.000,1
DZ,R,50,3,1260.000,1
DZ,R,52,1,1350.000,1
DZ,R,52,2,1341.250,1
DZ,R,52,3,1342.500,1
DZ,R,54,1,1406.250,1
DZ,R,54,2,1396.250,1
DZ,R,54,3,1400.000,1
DZ,R,56,1,1455.000,1
DZ,R,56,2,1452.500,1
DZ,R,56,3,1455.000,1
DZ,R,58,1,1511.250,1
DZ,R,58,2,1517.500,1
DZ,R,58,3,1512.500,1
DZ,R,60,1,1570.000,1
DZ,R,60,2,1573.750,1
DZ,R,60,3,1566.250,1
DZ,R,62,1,1630.000,1
DZ,R,62,2,1633.750,1
DZ,R,62,3,1631.250,1
DZ,R,64,1,1685.000,1
DZ,R,64,2,1688.750,1
DZ,R,64,3,1688.750,1
DZ,R,66,1,1742.500,1
DZ,R,66,2,1745.000,1
DZ,R,66,3,1746.250,1
DZ,R,68,1,1801.250,1
DZ,R,68,2,1800.000,1
DZ,R,68,3,1800.000,1
DZ,R,70,1,1873.750,1
DZ,R,70,2,1886.250,1
DZ,R,70,3,1882.500,1
DZ,R,72,1,1911.250,1
DZ,R,72,2,1905.000,1
DZ,R,72,3,1907.500,1
DZ,R,74,1,1973.750,1
DZ,R,74,2,1967.500,1
DZ,R,74,3,1970.000,1
DZ,R,76,1,2026.250,1
DZ,R,76,2,2020.000,1
DZ,R,76,3,2028.750,1
DZ,R,78,1,2078.750,1
DZ,R,78,2,2077.500,1
DZ,R,78,3,2087.500,1
DZ,R,80,1,2140.000,1
DZ,R,80,2,2147.500,1
DZ,R,80,3,2143.750,1
DZ,R,82,1,2200.000,1
DZ,R,82,2,2201.250,1
DZ,R,82,3,2203.750,1
DZ,R,84,1,2262.500,1
DZ,R,84,2,2253.750,1
DZ,R,84,3,2258.750,1
DZ,R,86,1,2317.500,1
DZ,R,86,2,2311.250,1
DZ,R,86,3,2312.500,1
DZ,R,88,1,2372.500,1
DZ,R,88,2,2367.500,1
DZ,R,88,3,2371.250,1
DZ,R,90,1,2488.750,1
DZ,R,90,2,2498.750,1
DZ,R,90,3,2491.250,1
DZ,R,92,1,2507.500,1
DZ,R,92,2,2510.000,1
DZ,R,92,3,2506.250,1
DZ,R,94,1,2511.250,1
DZ,R,94,2,2516.250,1
DZ,R,94,3,2512.500,1
DZ,R,96,1,2588.750,1
DZ,R,96,2,2598.750,1
DZ,R,96,3,2586.250,1
DZ,R,98,1,2655.000,1
DZ,R,98,2,2655.000,1
DZ,R,98,3,2662.500,1
DZ,R,100,1,2713.750,1
DZ,R,100,2,2716.250,1
DZ,R,100,3,2717.500,1
DZ,R,102,1,2772.500,1
DZ,R,102,2,2767.500,1
DZ,R,102,3,2767.500,1
DZ,R,104,1,2822.500,1
DZ,R,104,2,2827.500,1
DZ,R,104,3,2833.750,1
DZ,R,106,1,2876.250,1
DZ,R,106,2,2875.000,1
DZ,R,106,3,2877.500,1
DZ,R,108,1,2936.250,1
DZ,R,108,2,2937.500,1
DZ,R,108,3,2937.500,1
DZ,R,110,1,2998.750,1
DZ,R,110,2,3000.000,1
DZ,R,110,3,2998.750,1
DZ,R,112,1,3057.500,1
DZ,R,112,2,3055.000,1
DZ,R,112,3,3057.500,1
DZ,R,114,1,3115.000,1
DZ,R,114,2,3113.750,1
DZ,R,114,3,3115.000,1
DZ,R,116,1,3172.500,1
DZ,R,116,2,3165.000,1
DZ,R,116,3,3172.500,1
DZ,R,118,1,3221.250,1
DZ,R,118,2,3225.000,1
DZ,R,118,3,3218.750,1
DZ,R,120,1,3266.250,1
DZ,R,120,2,3266.250,1
DZ,R,120,3,3267.500,1
# done
