# ACK RS
# START RatioScan
DATA,dir,pwm,repeat,cpsL,cpsR,ratio
DATA,1,60,1,1358.500,1521.500,0.892869
DATA,1,60,2,1347.000,1497.500,0.899499
DATA,1,60,3,1358.500,1487.500,0.913277
DATA,1,60,4,1362.000,1480.500,0.919959
DATA,1,60,5,1353.000,1475.000,0.917288
DATA,1,70,1,1614.500,1747.000,0.924156
DATA,1,70,2,1615.500,1747.000,0.924728
DATA,1,70,3,1617.000,1745.000,0.926648
DATA,1,70,4,1617.000,1745.500,0.926382
DATA,1,70,5,1619.000,1743.500,0.928592
DATA,1,80,1,1874.500,1988.500,0.942670
DATA,1,80,2,1867.500,1990.000,0.938442
DATA,1,80,3,1862.500,1989.500,0.936165
DATA,1,80,4,1862.500,1991.000,0.935459
DATA,1,80,5,1860.500,1989.500,0.935160
DATA,1,90,1,2120.000,2313.500,0.916360
DATA,1,90,2,2122.000,2321.500,0.914064
DATA,1,90,3,2128.000,2321.000,0.916846
DATA,1,90,4,2127.500,2322.000,0.916236
DATA,1,90,5,2125.000,2322.000,0.915159
DATA,1,100,1,2329.500,2505.000,0.929940
DATA,1,100,2,2328.500,2507.000,0.928799
DATA,1,100,3,2339.500,2505.500,0.933746
DATA,1,100,4,2330.500,2506.500,0.929783
DATA,1,100,5,2328.500,2505.500,0.929355
DATA,1,110,1,2641.000,2760.000,0.956884
DATA,1,110,2,2648.500,2758.000,0.960297
DATA,1,110,3,2648.500,2758.000,0.960297
DATA,1,110,4,2655.000,2759.000,0.962305
DATA,1,110,5,2659.000,2765.500,0.961490
DATA,1,120,1,2908.000,3021.500,0.962436
DATA,1,120,2,2909.000,3018.500,0.963724
DATA,1,120,3,2908.500,3016.500,0.964197
DATA,1,120,4,2908.000,3015.000,0.964511
DATA,1,120,5,2909.000,3017.500,0.964043
DATA,1,130,1,3147.500,3286.500,0.957706
DATA,1,130,2,3139.500,3286.000,0.955417
DATA,1,130,3,3138.000,3289.500,0.953944
DATA,1,130,4,3139.500,3288.000,0.954836
DATA,1,130,5,3140.500,3286.500,0.955576
DATA,1,140,1,3408.500,3528.500,0.965991
DATA,1,140,2,3411.500,3493.000,0.976668
DATA,1,140,3,3471.000,3566.000,0.973359
DATA,1,140,4,3471.500,3559.500,0.975277
DATA,1,140,5,3480.500,3562.000,0.977120
DATA,1,150,1,3680.500,3808.500,0.966391
DATA,1,150,2,3681.000,3818.500,0.963991
DATA,1,150,3,3681.500,3829.000,0.961478
DATA,1,150,4,3677.000,3828.500,0.960428
DATA,1,150,5,3676.000,3825.000,0.961046
DATA,1,160,1,3941.000,4059.500,0.970809
DATA,1,160,2,3849.500,4069.500,0.945939
DATA,1,160,3,3859.000,4068.500,0.948507
DATA,1,160,4,3944.000,4071.500,0.968685
DATA,1,160,5,3932.500,4075.000,0.965031
DATA,1,170,1,4128.500,4354.000,0.948208
DATA,1,170,2,4112.000,4353.500,0.944527
DATA,1,170,3,4113.000,4344.000,0.946823
DATA,1,170,4,4113.500,4335.000,0.948904
DATA,1,170,5,4112.500,4337.000,0.948236
DATA,1,180,1,4364.000,4590.000,0.950762
DATA,1,180,2,4358.500,4582.000,0.951222
DATA,1,180,3,4361.000,4571.500,0.953954
DATA,1,180,4,4353.500,4563.000,0.954087
DATA,1,180,5,4354.500,4566.500,0.953575
DATA,1,190,1,4637.000,4819.000,0.962233
DATA,1,190,2,4629.000,4816.500,0.961071
DATA,1,190,3,4592.500,4817.000,0.953394
DATA,1,190,4,4587.500,4823.000,0.951171
DATA,1,190,5,4587.500,4819.500,0.951862
DATA,1,200,1,4752.000,5035.500,0.943700
DATA,1,200,2,4755.500,5050.500,0.941590
DATA,1,200,3,4767.500,5055.000,0.943126
DATA,1,200,4,4764.500,5061.000,0.941415
DATA,1,200,5,4777.500,5038.000,0.948293
# done
